element_id,player_name,round,is_home,opponent_difficulty,prev_minutes_avg,prev_points_avg,prev_xg_avg,prev_xa_avg,prev_ict_avg,prev_goals_sum,prev_assists_sum,prev_starts_rate,season_points_before,total_points
5,Gabriel,7,1,2,90.0,6.4,0.096,0.012,4.279999999999999,1.0,0.0,1.0,38.0,9
5,Gabriel,8,0,3,90.0,7.0,0.08800000000000001,0.016,4.4,1.0,0.0,1.0,47.0,12
5,Gabriel,9,1,3,90.0,9.0,0.132,0.018,5.220000000000001,1.0,1.0,1.0,59.0,9
5,Gabriel,10,0,2,90.0,9.0,0.11200000000000002,0.022,5.4,1.0,1.0,1.0,68.0,12
5,Gabriel,11,0,3,90.0,11.0,0.11200000000000002,0.124,5.9799999999999995,1.0,2.0,1.0,80.0,1
5,Gabriel,12,1,3,90.0,8.6,0.068,0.126,4.5600000000000005,0.0,2.0,1.0,81.0,0
5,Gabriel,13,0,3,72.0,6.8,0.06799999999999999,0.12,3.9800000000000004,0.0,2.0,0.8,81.0,0
5,Gabriel,14,1,3,54.0,4.4,0.02,0.11600000000000002,2.78,0.0,1.0,0.6,81.0,0
5,Gabriel,15,0,3,36.0,2.6,0.0,0.11000000000000001,1.8399999999999999,0.0,1.0,0.4,81.0,0
6,Saliba,4,1,2,61.333333333333336,5.333333333333333,0.0,0.0033333333333333335,1.9333333333333333,0.0,0.0,0.6666666666666666,16.0,0
6,Saliba,5,1,4,46.0,4.0,0.0,0.0025,1.45,0.0,0.0,0.5,16.0,2
6,Saliba,6,0,4,54.8,3.6,0.026000000000000002,0.006,1.7399999999999998,0.0,0.0,0.6,18.0,1
6,Saliba,7,1,2,45.8,2.0,0.026000000000000002,0.02,1.48,0.0,0.0,0.4,19.0,6
6,Saliba,8,0,3,45.8,2.0,0.026000000000000002,0.022000000000000002,1.6199999999999999,0.0,0.0,0.4,25.0,6
6,Saliba,9,1,3,63.0,3.0,0.026000000000000002,0.03200000000000001,2.0,0.0,0.0,0.6,31.0,1
6,Saliba,10,0,2,72.0,3.2,0.026000000000000002,0.036000000000000004,2.18,0.0,0.0,0.6,32.0,6
6,Saliba,11,0,3,72.0,4.0,0.0,0.03400000000000001,2.1,0.0,0.0,0.6,38.0,1
6,Saliba,12,1,3,81.0,4.0,0.032,0.026000000000000002,2.2800000000000002,0.0,0.0,0.8,39.0,2
6,Saliba,13,0,3,81.0,3.2,0.032,0.024,2.02,0.0,0.0,0.8,41.0,0
6,Saliba,14,1,3,63.0,2.0,0.032,0.013999999999999999,1.5799999999999998,0.0,0.0,0.6,41.0,0
6,Saliba,15,0,3,54.0,1.8,0.032,0.009999999999999998,1.4,0.0,0.0,0.6,41.0,0
7,Calafiori,4,1,2,74.66666666666667,9.333333333333334,0.47666666666666674,0.01,5.8999999999999995,1.0,2.0,1.0,28.0,5
