element_id,player_name,round,fixture,was_home,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,bonus,bps,influence,creativity,threat,ict_index,expected_goals,expected_assists,expected_goals_conceded,total_points
3,Hein,14,131,True,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,Hein,15,141,False,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,Setford,1,9,False,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,Setford,2,11,True,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,Setford,3,25,False,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,Setford,4,31,True,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,Setford,5,41,True,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,Setford,6,58,False,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,Setford,7,61,True,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,Setford,8,74,False,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,Setford,9,81,True,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,Setford,10,92,False,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,Setford,11,108,False,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,Setford,12,111,True,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,Setford,13,123,False,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,Setford,14,131,True,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,Setford,15,141,False,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5,Gabriel,1,9,False,90,0,0,1,0,0,0,0,23,22.8,0.3,4.0,2.7,0.0,0.0,1.52,6
5,Gabriel,2,11,True,90,0,0,1,0,0,0,0,26,13.4,3.3,6.0,2.3,0.04,0.01,0.17,6
5,Gabriel,3,25,False,90,0,0,0,1,0,0,0,8,15.4,1.4,2.0,1.9,0.02,0.01,0.52,2
5,Gabriel,4,31,True,90,0,0,1,0,0,0,1,32,28.0,1.3,9.0,3.8,0.2,0.01,0.2,9
5,Gabriel,5,41,True,90,0,0,0,1,0,0,0,13,19.6,2.3,0.0,2.2,0.0,0.01,0.89,2
